pkt_id,s_ip,s_port,d_ip,d_port,label,timestamp,strategy
1,10.0.0.1,445,10.0.0.2,80,DOS,09-16 20:00:00,drop
2,10.0.0.1,445,10.0.0.2,80,DOS,09-16 20:00:00,drop
3,10.0.0.1,445,10.0.0.2,80,DOS,09-16 20:00:00,drop
4,10.0.0.1,445,10.0.0.2,80,DOS,09-16 20:00:00,drop
5,10.0.0.1,any,10.0.0.2,80,U2R,09-16 20:00:02,redirect
6,10.0.0.1,any,10.0.0.2,80,PROBING,09-16 20:00:02,alert
7,10.0.0.1,any,10.0.0.2,80,PROBING,09-16 20:00:02,alert
8,10.0.0.1,any,10.0.0.2,80,R2L,09-16 20:00:02,alert
1,10.0.0.1,445,10.0.0.2,80,DOS,09-16 20:00:00,drop
2,10.0.0.1,445,10.0.0.2,80,DOS,09-16 20:00:00,drop
3,10.0.0.1,445,10.0.0.2,80,DOS,09-16 20:00:00,drop
4,10.0.0.1,445,10.0.0.2,80,DOS,09-16 20:00:00,drop
5,10.0.0.1,any,10.0.0.2,80,U2R,09-16 20:00:02,redirect
